country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Aruba,,,,,,,,,,,,,,,,,,,3
Albania,,,,,,,,,,,,,,,,52,203,502,
Argentina,1680,,598,2580,1820,,,406,663,3480,2130,1000,1790,1230,1690,1240,1590,,
Armenia,,,,,,,,,,,,,127,143,85,205,168,185,151
Australia,7250,7110,7740,10.6k,11k,11.5k,12.7k,12.6k,12.9k,12.7k,11.7k,9670,8990,9460,14.8k,13.5k,13.9k,14k,14.5k
Austria,8570,8740,10k,9580,10.6k,11.8k,12.6k,13.3k,15k,16.8k,18.7k,17.6k,16.1k,16k,15k,14.3k,11.3k,14.3k,20.4k
Azerbaijan,,,,,,,,,,,,9,81,,19,,,,
Burundi,7,,2,,,2,2,,2,,4,1,5,,,,,,
Belgium,2760,10.1k,11.9k,9340,10.4k,12.6k,13.2k,14.3k,17k,19.1k,20.7k,19.5k,18.1k,17.7k,16.1k,15.8k,12.1k,15.1k,20.8k
Bangladesh,113,118,107,89,75,91,94,78,61,76,98,80,,,140,,,,
Bulgaria,141,1940,2410,2790,2100,1950,1470,417,394,1,280,375,530,448,534,533,481,425,376
Bahrain,58,31,17,,,,,,26,,,,,,,,,,
Bahamas,34,66,35,,36,,,,31,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,5,1,,
Belarus,,,,,,,,,,237,405,633,409,483,687,550,537,529,691
Belize,,,,,1,,,,,,,,,,,,,,
Bolivia,56,62,,,,,,,,1,59,47,,,,,,,
Brazil,4890,3930,2940,2180,3040,3510,3360,2420,1820,2650,2470,2660,1490,,,3220,,3590,4740
Barbados,41,15,,,,,,,,,,,,,,3,,,
Brunei,,,,,,,,,,251,,,,,,,,,
Botswana,,,,5,18,25,29,39,29,42,59,47,107,32,21,26,43,33,
Canada,20.5k,18.7k,17.6k,14.7k,16.8k,16.3k,14.2k,15.5k,18.3k,14.6k,11.6k,9140,7150,7280,9570,13.8k,12.1k,12k,12.9k
Switzerland,14k,14.5k,15.3k,13.4k,15k,16.1k,16.1k,16.8k,18k,20.6k,22.3k,20.3k,17.3k,18.1k,16.3k,15.4k,12.3k,15.6k,21.9k
Czechoslovakia,900,7850,6980,6980,6810,5990,5090,1400,1750,,,,,,,,,,
Chile,672,455,421,295,445,610,607,506,460,,127,133,181,,,418,601,,
China,,44,56,422,1030,2300,,4120,3970,6560,3880,3390,2980,3490,4740,7640,13.4k,16.3k,21.5k
"Congo, Dem. Rep.",93,,85,,74,,,,,,55,18,14,,,,,,
Colombia,539,169,98,424,538,662,,425,248,280,690,365,370,,476,590,595,363,372
Costa Rica,,,18,13,5,6,12,,,6,,,,,,,,,
Cuba,140,149,102,97,73,50,57,3,11,12,132,77,50,50,,70,,,
Cyprus,56,43,29,71,48,,43,54,57,,,,,,,3,23,660,4330
Czech Republic,,,,,,,,,,860,725,1300,1290,1480,1450,1480,1610,1720,1810
Germany,,,,,,,,43.2k,46.5k,52k,57.8k,56.6k,55.4k,55k,51.7k,49.5k,41.6k,48.2k,61.1k
East Germany,11.5k,12.7k,10.5k,10.7k,10.5k,11.3k,8370,,,,,,,,,,,,
West Germany,21.8k,33.4k,39k,39.9k,38.9k,42.2k,42.9k,,,,,,,,,,,,
Denmark,1090,1050,958,1130,2820,2620,2380,2610,3770,6630,9720,11.3k,11.5k,12.1k,11k,10.8k,8480,10.6k,16.5k
Dominican Republic,,,125,,,,,,,,,,,,,,,,
Algeria,,,,,,,592,617,83,,,118,,863,,,,,111
Ecuador,92,,154,46,84,70,,102,60,45,32,90,159,212,,142,,,21
Egypt,220,298,363,235,122,214,306,403,290,341,568,346,250,,118,410,453,430,757
Spain,8210,9120,8740,7280,5130,7130,7600,9780,14k,15.8k,20k,19.9k,19.8k,20.6k,20.1k,20.1k,15.8k,19.7k,26.6k
Estonia,,,,,,,,,,,,,22,108,82,103,84,257,358
Ethiopia,,,,,,,,,,,,,,,,1,1,,
Finland,2200,2160,2180,2670,2690,2510,2470,2680,2700,2720,2560,2350,2300,2320,2330,1620,2560,5360,11.6k
Fiji,,15,12,,,,,,,,,,,,,,,,
France,23.7k,37.5k,35.5k,30.4k,32k,32.9k,35.1k,35.6k,38.2k,44.3k,55k,55.7k,49.2k,50.5k,46.2k,44.3k,36.4k,43k,53.4k
UK,18.9k,34.5k,32.9k,28.7k,29.6k,31k,32.2k,34.1k,37.8k,42.6k,48.8k,48.4k,44.3k,44.8k,43.2k,40.7k,33.8k,39.6k,52.6k
Georgia,,,,,,,,,,19,173,119,327,318,536,398,451,268,256
Ghana,15,1,16,21,31,33,45,37,24,31,58,46,96,29,13,17,64,65,
Gambia,,,,3,14,22,25,35,26,34,56,45,98,29,18,26,51,53,
Greece,9150,3230,3250,2040,385,503,1980,3690,6360,7840,8830,8950,8600,8560,7860,7600,6060,7870,13.2k
Guatemala,66,331,53,126,93,11,72,123,65,19,37,3,8,15,17,36,23,6,
Guyana,7,22,12,3,11,7,3,,,,,,,,,,,,
"Hong Kong, China",1010,1030,1010,1020,1070,1030,1100,1080,1070,1440,1500,1960,2210,1490,2450,2500,2740,1150,2180
Honduras,13,19,,60,32,,19,,24,,,4,55,,58,77,63,238,146
Croatia,,,,,,,,,,,,25,281,119,244,275,379,289,286
Haiti,9,9,6,16,12,,,8,,,,3,15,,,7,,,
Hungary,2870,2100,3730,3060,2770,2410,2620,2310,2110,1410,1140,1910,1030,1190,1260,1880,1610,1450,1390
Indonesia,,,,,,,,,,,67,,631,,,,,,
India,1490,1810,1990,2030,3450,1990,1610,1570,1470,1550,1740,1610,1020,,1710,2160,,,
Ireland,1150,1040,1430,1040,737,925,852,860,764,1570,3170,4330,4600,6890,7090,7290,5920,8470,14.2k
Iran,163,339,129,106,76,179,299,286,205,149,253,166,,258,241,322,448,881,
Iraq,94,103,54,123,132,101,,,66,63,33,32,46,,,,,,
Iceland,37,21,46,44,24,80,37,30,48,6,37,11,58,41,35,27,16,42,42
Israel,1750,1640,1830,1690,1670,1660,1640,2350,2680,2200,2300,2030,2130,2150,2020,2020,2030,1830,1470
Italy,1900,47.9k,52.5k,45.6k,25.2k,15.8k,17.8k,19.5k,27.2k,32.5k,37.1k,29.9k,37.9k,28.1k,39k,32.5k,24.9k,25.1k,34.9k
Jamaica,25,,,18,,,21,11,3,,6,6,,,,17,20,69,206
Jordan,,,,,,,,,,,,,,58,,,,,
Japan,61.8k,50.1k,59.9k,62.4k,55.3k,63.3k,59.4k,36.1k,92.1k,88.4k,82.4k,109k,215k,148k,141k,150k,126k,122k,120k
Kazakhstan,,,,,,,,,,,1350,1280,1160,1530,1190,1550,1420,1280,
Kenya,122,98,107,113,76,97,38,47,58,54,75,59,132,79,101,94,117,100,
Kyrgyz Republic,,,,,,,,,,,83,133,125,133,105,93,104,60,65
Kiribati,,,,,,,,,,,,,,,,2,,,
South Korea,2370,2270,1890,2330,2170,3970,7760,8690,10.5k,11.4k,11.7k,12.5k,16.5k,24.6k,,62.6k,35k,34.7k,45.3k
Kuwait,,,,,,,,,,107,,,,,,,,,
Liberia,,,,,,,,17,,30,,,,,,,,,
St. Lucia,1,,,,,,2,,1,,,,4,,,,,7,
